coeff_set,scenario,alpha,beta,gamma,load,seed,slo_rate,drop_rate,limited_ratio,ir_gt_1,ir_gt_1_25,ir_gt_1_5
minus2,baseline,0.833,0.882,0.784,190,7,0.5105263157894737,0.47368421052631576,0.0,0.4424778761061947,0.05309734513274336,0.04424778761061947
minus2,sandbox,0.833,0.882,0.784,190,7,0.531578947368421,0.46842105263157896,0.05263157894736842,0.5,0.0,0.0
minus4,baseline,0.816,0.864,0.768,190,7,0.5368421052631579,0.4631578947368421,0.0,0.49557522123893805,0.02654867256637168,0.0
minus4,sandbox,0.816,0.864,0.768,190,7,0.5,0.49473684210526314,0.07894736842105263,0.4485981308411215,0.018691588785046728,0.009345794392523364
minus6,baseline,0.799,0.846,0.752,190,7,0.4473684210526316,0.5157894736842106,0.0,0.44761904761904764,0.10476190476190476,0.0761904761904762
minus6,sandbox,0.799,0.846,0.752,190,7,0.5473684210526316,0.45263157894736844,0.05789473684210526,0.47368421052631576,0.008771929824561403,0.0
minus8,baseline,0.782,0.828,0.736,190,7,0.4421052631578947,0.5105263157894737,0.0,0.4095238095238095,0.09523809523809523,0.09523809523809523
minus8,sandbox,0.782,0.828,0.736,190,7,0.5157894736842106,0.4842105263157895,0.07894736842105263,0.5648148148148148,0.009259259259259259,0.0
minus10,baseline,0.765,0.81,0.72,190,7,0.4789473684210526,0.5105263157894737,0.0,0.4766355140186916,0.11214953271028037,0.037383177570093455
minus10,sandbox,0.765,0.81,0.72,190,7,0.5157894736842106,0.4842105263157895,0.06315789473684211,0.48623853211009177,0.009174311926605505,0.0
plus2,baseline,0.867,0.918,0.816,190,7,0.4789473684210526,0.5,0.0,0.41818181818181815,0.08181818181818182,0.06363636363636363
plus2,sandbox,0.867,0.918,0.816,190,7,0.5157894736842106,0.4842105263157895,0.06315789473684211,0.41818181818181815,0.00909090909090909,0.0
plus4,baseline,0.884,0.936,0.832,190,7,0.5052631578947369,0.4789473684210526,0.0,0.5045045045045045,0.04504504504504504,0.02702702702702703
plus4,sandbox,0.884,0.936,0.832,190,7,0.49473684210526314,0.49473684210526314,0.07368421052631578,0.514018691588785,0.028037383177570093,0.018691588785046728
plus6,baseline,0.901,0.954,0.848,190,7,0.5,0.47368421052631576,0.0,0.4864864864864865,0.07207207207207207,0.04504504504504504
plus6,sandbox,0.901,0.954,0.848,190,7,0.5210526315789473,0.4789473684210526,0.06842105263157895,0.5045045045045045,0.018018018018018018,0.0
plus8,baseline,0.918,0.972,0.864,190,7,0.4631578947368421,0.5052631578947369,0.0,0.38317757009345793,0.08411214953271028,0.06542056074766354
plus8,sandbox,0.918,0.972,0.864,190,7,0.5105263157894737,0.4789473684210526,0.07368421052631578,0.4636363636363636,0.01818181818181818,0.01818181818181818
plus10,baseline,0.935,0.99,0.88,190,7,0.4631578947368421,0.5,0.0,0.4205607476635514,0.07476635514018691,0.07476635514018691
plus10,sandbox,0.935,0.99,0.88,190,7,0.5157894736842106,0.4842105263157895,0.07894736842105263,0.5779816513761468,0.009174311926605505,0.0
