label,limit_threshold,bandwidth_refill,compute_ceiling,max_boost,decay,adjust_interval,load,seed,slo_rate,drop_rate,limited_ratio,ir_gt_1,ir_gt_1_25,ir_gt_1_5
C1,0.95,0.7,1.2,1.2,0.01,12,190,7,0.5,0.49473684210526314,0.3526315789473684,0.4537037037037037,0.027777777777777776,0.009259259259259259
C2,0.95,0.7,1.2,1.2,0.01,16,190,7,0.5052631578947369,0.4842105263157895,0.3631578947368421,0.4636363636363636,0.01818181818181818,0.01818181818181818
C3,0.95,0.7,1.2,1.2,0.02,12,190,7,0.5052631578947369,0.49473684210526314,0.3526315789473684,0.5092592592592593,0.037037037037037035,0.0
C4,0.95,0.7,1.2,1.2,0.02,16,190,7,0.48947368421052634,0.5,0.32105263157894737,0.5094339622641509,0.018867924528301886,0.018867924528301886
C5,0.95,0.7,1.2,1.4,0.01,12,190,7,0.5157894736842106,0.4842105263157895,0.3368421052631579,0.5412844036697247,0.0,0.0
C6,0.95,0.7,1.2,1.4,0.01,16,190,7,0.5052631578947369,0.49473684210526314,0.34210526315789475,0.5277777777777778,0.027777777777777776,0.009259259259259259
C7,0.95,0.7,1.2,1.4,0.02,12,190,7,0.5,0.49473684210526314,0.3473684210526316,0.514018691588785,0.009345794392523364,0.009345794392523364
C8,0.95,0.7,1.2,1.4,0.02,16,190,7,0.5,0.49473684210526314,0.35789473684210527,0.6203703703703703,0.009259259259259259,0.009259259259259259
C9,0.95,0.7,1.3,1.2,0.01,12,190,7,0.48947368421052634,0.5052631578947369,0.35789473684210527,0.5,0.0660377358490566,0.009433962264150943
C10,0.95,0.7,1.3,1.2,0.01,16,190,7,0.5105263157894737,0.48947368421052634,0.3473684210526316,0.5045871559633027,0.009174311926605505,0.0
C11,0.95,0.7,1.3,1.2,0.02,12,190,7,0.5210526315789473,0.4789473684210526,0.3473684210526316,0.5855855855855856,0.009009009009009009,0.0
C12,0.95,0.7,1.3,1.2,0.02,16,190,7,0.5105263157894737,0.48947368421052634,0.33157894736842103,0.5277777777777778,0.009259259259259259,0.0
C13,0.95,0.7,1.3,1.4,0.01,12,190,7,0.49473684210526314,0.49473684210526314,0.3526315789473684,0.5327102803738317,0.018691588785046728,0.018691588785046728
C14,0.95,0.7,1.3,1.4,0.01,16,190,7,0.5105263157894737,0.48947368421052634,0.34210526315789475,0.5555555555555556,0.009259259259259259,0.0
C15,0.95,0.7,1.3,1.4,0.02,12,190,7,0.5052631578947369,0.4842105263157895,0.33157894736842103,0.5181818181818182,0.01818181818181818,0.01818181818181818
C16,0.95,0.7,1.3,1.4,0.02,16,190,7,0.5157894736842106,0.4842105263157895,0.34210526315789475,0.5321100917431193,0.009174311926605505,0.0
C17,0.95,0.7,1.4,1.2,0.01,12,190,7,0.5052631578947369,0.49473684210526314,0.3631578947368421,0.4953271028037383,0.028037383177570093,0.0
C18,0.95,0.7,1.4,1.2,0.01,16,190,7,0.5157894736842106,0.4842105263157895,0.32105263157894737,0.44036697247706424,0.0,0.0
C19,0.95,0.7,1.4,1.2,0.02,12,190,7,0.48947368421052634,0.5,0.3473684210526316,0.5046728971962616,0.028037383177570093,0.018691588785046728
C20,0.95,0.7,1.4,1.2,0.02,16,190,7,0.5157894736842106,0.4842105263157895,0.3526315789473684,0.47706422018348627,0.009174311926605505,0.0
C21,0.95,0.7,1.4,1.4,0.01,12,190,7,0.5105263157894737,0.48947368421052634,0.34210526315789475,0.5555555555555556,0.0,0.0
C22,0.95,0.7,1.4,1.4,0.01,16,190,7,0.5052631578947369,0.49473684210526314,0.3368421052631579,0.514018691588785,0.028037383177570093,0.0
C23,0.95,0.7,1.4,1.4,0.02,12,190,7,0.5052631578947369,0.48947368421052634,0.34210526315789475,0.48623853211009177,0.01834862385321101,0.009174311926605505
C24,0.95,0.7,1.4,1.4,0.02,16,190,7,0.49473684210526314,0.5052631578947369,0.35789473684210527,0.5333333333333333,0.009523809523809525,0.0
C25,0.95,0.85,1.2,1.2,0.01,12,190,7,0.5263157894736842,0.47368421052631576,0.3368421052631579,0.5135135135135135,0.0,0.0
C26,0.95,0.85,1.2,1.2,0.01,16,190,7,0.48947368421052634,0.5052631578947369,0.3736842105263158,0.5428571428571428,0.05714285714285714,0.009523809523809525
C27,0.95,0.85,1.2,1.2,0.02,12,190,7,0.48947368421052634,0.5052631578947369,0.34210526315789475,0.5523809523809524,0.0380952380952381,0.009523809523809525
