label,limit_threshold,bandwidth_refill,compute_ceiling,max_boost,decay,adjust_interval,slo_rate,ir_gt_1,ir_gt_1_25,ir_gt_1_5,limited_ratio,drop_rate,limiter_events_per_task,score,signature
C271,1.1,1.0,1.2,1.4,0.02,12,0.5263157894736842,0.42857142857142855,0.008928571428571428,0.0,0.04736842105263158,0.46842105263157896,257.0736842105263,-0.16015037593984965,lt=1.100 | br=1.000 | cc=1.200 | mb=1.400 | dec=0.020 | adj=12
C205,1.05,1.0,1.3,1.4,0.01,12,0.5210526315789473,0.41284403669724773,0.0,0.0,0.05789473684210526,0.4789473684210526,321.8263157894737,-0.16021245774987936,lt=1.050 | br=1.000 | cc=1.300 | mb=1.400 | dec=0.010 | adj=12
C194,1.05,1.0,1.2,1.2,0.01,16,0.5263157894736842,0.4375,0.008928571428571428,0.0,0.06315789473684211,0.47368421052631576,325.3,-0.17960526315789477,lt=1.050 | br=1.000 | cc=1.200 | mb=1.200 | dec=0.010 | adj=16
C165,1.05,0.7,1.4,1.4,0.01,12,0.5263157894736842,0.4642857142857143,0.017857142857142856,0.0,0.06315789473684211,0.47368421052631576,366.0842105263158,-0.20639097744360907,lt=1.050 | br=0.700 | cc=1.400 | mb=1.400 | dec=0.010 | adj=12
C286,1.1,1.0,1.4,1.4,0.01,16,0.531578947368421,0.48214285714285715,0.017857142857142856,0.0,0.06842105263157895,0.46842105263157896,339.6,-0.21898496240601506,lt=1.100 | br=1.000 | cc=1.400 | mb=1.400 | dec=0.010 | adj=16
C260,1.1,0.85,1.4,1.2,0.02,16,0.5105263157894737,0.45871559633027525,0.01834862385321101,0.009174311926605505,0.06842105263157895,0.4842105263157895,354.8578947368421,-0.22450507001448575,lt=1.100 | br=0.850 | cc=1.400 | mb=1.200 | dec=0.020 | adj=16
C154,1.05,0.7,1.3,1.2,0.01,16,0.5157894736842106,0.46788990825688076,0.0,0.0,0.07368421052631578,0.4842105263157895,404.0578947368421,-0.23104780299372282,lt=1.050 | br=0.700 | cc=1.300 | mb=1.200 | dec=0.010 | adj=16
C179,1.05,0.85,1.3,1.2,0.02,12,0.5210526315789473,0.4818181818181818,0.0,0.0,0.06315789473684211,0.4789473684210526,357.33684210526314,-0.23181818181818187,lt=1.050 | br=0.850 | cc=1.300 | mb=1.200 | dec=0.020 | adj=12
C215,1.05,1.0,1.4,1.4,0.02,12,0.5157894736842106,0.46788990825688076,0.027522935779816515,0.009174311926605505,0.07894736842105263,0.4842105263157895,432.5210526315789,-0.23367938194109122,lt=1.050 | br=1.000 | cc=1.400 | mb=1.400 | dec=0.020 | adj=12
C284,1.1,1.0,1.4,1.2,0.02,16,0.5210526315789473,0.4818181818181818,0.01818181818181818,0.00909090909090909,0.07368421052631578,0.4789473684210526,387.2578947368421,-0.2370813397129187,lt=1.100 | br=1.000 | cc=1.400 | mb=1.200 | dec=0.020 | adj=16
C214,1.05,1.0,1.4,1.4,0.01,16,0.5210526315789473,0.4909090909090909,0.0,0.0,0.05789473684210526,0.4789473684210526,302.3315789473684,-0.23827751196172253,lt=1.050 | br=1.000 | cc=1.400 | mb=1.400 | dec=0.010 | adj=16
C171,1.05,0.85,1.2,1.2,0.02,12,0.5157894736842106,0.4818181818181818,0.00909090909090909,0.0,0.06315789473684211,0.4842105263157895,343.17894736842106,-0.23971291866028704,lt=1.050 | br=0.850 | cc=1.200 | mb=1.200 | dec=0.020 | adj=12
C230,1.1,0.7,1.3,1.4,0.01,16,0.5157894736842106,0.4818181818181818,0.0,0.0,0.06315789473684211,0.4842105263157895,329.65263157894736,-0.23971291866028704,lt=1.100 | br=0.700 | cc=1.300 | mb=1.400 | dec=0.010 | adj=16
C149,1.05,0.7,1.2,1.4,0.01,12,0.5052631578947369,0.46788990825688076,0.009174311926605505,0.009174311926605505,0.06842105263157895,0.48947368421052634,375.7526315789474,-0.24157411878319654,lt=1.050 | br=0.700 | cc=1.200 | mb=1.400 | dec=0.010 | adj=12
C238,1.1,0.7,1.4,1.4,0.01,16,0.5052631578947369,0.46296296296296297,0.018518518518518517,0.009259259259259259,0.07894736842105263,0.48947368421052634,423.5105263157895,-0.24191033138401558,lt=1.100 | br=0.700 | cc=1.400 | mb=1.400 | dec=0.010 | adj=16
C193,1.05,1.0,1.2,1.2,0.01,12,0.5210526315789473,0.4954954954954955,0.009009009009009009,0.0,0.06842105263157895,0.47368421052631576,356.92105263157896,-0.2454954954954955,lt=1.050 | br=1.000 | cc=1.200 | mb=1.200 | dec=0.010 | adj=12
C232,1.1,0.7,1.3,1.4,0.02,16,0.5052631578947369,0.46788990825688076,0.01834862385321101,0.009174311926605505,0.07894736842105263,0.48947368421052634,423.85263157894735,-0.24683727667793337,lt=1.100 | br=0.700 | cc=1.300 | mb=1.400 | dec=0.020 | adj=16
